n,r,m
(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})"
(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_23842, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.04uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})"
(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_23843, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.12uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})"
(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_23844, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})"
(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_23845, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})"
"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.007347, logFC: -1.37741, gene_symbol: AARS, gene_id: 16})"
"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.577723, logFC: -0.28937, gene_symbol: ABCF1, gene_id: 23})"
"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.032895, logFC: -0.73304, gene_symbol: ABL1, gene_id: 25})"
"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.015378, logFC: 1.27741, gene_symbol: ACAA1, gene_id: 30})"
"(:Signature {signature_id: LINCSCP_10694, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: ASC, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: adipose, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.03423, logFC: -2.39774, gene_symbol: ACAT2, gene_id: 39})"
"(:Signature {signature_id: LINCSCP_23842, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.04uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",null,null
"(:Signature {signature_id: LINCSCP_23843, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.12uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",null,null
"(:Signature {signature_id: LINCSCP_23844, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",null,null
"(:Signature {signature_id: LINCSCP_23845, stitch_id: CID6918837, lincspertid: LSM-43059, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K02130563, time: 24h, pubchem_id: 6918837})",null,null
"(:DifferentialExpression {p_value: 0.007347, logFC: -1.37741, gene_symbol: AARS, gene_id: 16})",null,null
"(:DifferentialExpression {p_value: 0.577723, logFC: -0.28937, gene_symbol: ABCF1, gene_id: 23})",null,null
"(:DifferentialExpression {p_value: 0.032895, logFC: -0.73304, gene_symbol: ABL1, gene_id: 25})",null,null
"(:DifferentialExpression {p_value: 0.015378, logFC: 1.27741, gene_symbol: ACAA1, gene_id: 30})",null,null
"(:DifferentialExpression {p_value: 0.03423, logFC: -2.39774, gene_symbol: ACAT2, gene_id: 39})",null,null
(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_111895, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})"
(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112253, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})"
(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112389, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})"
(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112390, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})"
(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112391, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})"
"(:Signature {signature_id: LINCSCP_111895, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})",null,null
"(:Signature {signature_id: LINCSCP_112253, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})",null,null
"(:Signature {signature_id: LINCSCP_112389, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})",null,null
"(:Signature {signature_id: LINCSCP_112390, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})",null,null
"(:Signature {signature_id: LINCSCP_112391, stitch_id: CID5311, lincspertid: LSM-3828, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC6, HDAC8], concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K81418486, time: 24h, pubchem_id: 5311})",null,null
(:PreClinicalData {name: Resminostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Wistar, loael: 40, t_half: 3.6, ast: 64, noael: 10, tmax: 1.2, sex: M, alt: 58, source: ChEMBL1201103, auc: 1500, cmax: 210, drug: Resminostat, primary_histopath: GI emesis/distress, dose: 20, route: PO, species: Rat})"
(:PreClinicalData {name: Resminostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Wistar, loael: 40, t_half: 4, ast: 72, noael: 10, tmax: 1.2, sex: F, alt: 64, source: ChEMBL1201103, auc: 1340, cmax: 180, drug: Resminostat, primary_histopath: GI emesis/distress, dose: 20, route: PO, species: Rat})"
(:PreClinicalData {name: Dacinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Sprague-Dawley, loael: 15, t_half: 1.1, ast: 94, noael: 5, tmax: 0.08, sex: M, alt: 82, source: ChEMBL817, auc: 1210, cmax: 295, drug: Dacinostat, primary_histopath: Splenic atrophy, dose: 10, route: IV, species: Rat})"
(:PreClinicalData {name: Dacinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Sprague-Dawley, loael: 15, t_half: 1.3, ast: 102, noael: 5, tmax: 0.08, sex: F, alt: 89, source: ChEMBL817, auc: 1090, cmax: 265, drug: Dacinostat, primary_histopath: Body weight loss, dose: 10, route: IV, species: Rat})"
(:PreClinicalData {name: Pracinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 25, t_half: 4.6, ast: 62, noael: 10, tmax: 1.5, sex: M, alt: 74, source: PubChem-49855250, auc: 1410, cmax: 225, drug: Pracinostat, primary_histopath: GI hemorrhage, dose: 10, route: PO, species: Dog})"
(:PreClinicalData {name: Pracinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 25, t_half: 5, ast: 69, noael: 10, tmax: 1.5, sex: F, alt: 79, source: PubChem-49855250, auc: 1290, cmax: 195, drug: Pracinostat, primary_histopath: GI hemorrhage, dose: 10, route: PO, species: Dog})"
(:PreClinicalData {name: Panobinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 5, t_half: 15.5, ast: 95, noael: 1.5, tmax: 2, sex: M, alt: 112, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205353Orig1s000PharmR.pdf, auc: 1290, cmax: 325, drug: Panobinostat, primary_histopath: Testicular atrophy, dose: 1.5, route: PO, species: Dog})"
(:PreClinicalData {name: Panobinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 5, t_half: 16.5, ast: 108, noael: 1.5, tmax: 2, sex: F, alt: 124, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205353Orig1s000PharmR.pdf, auc: 1190, cmax: 295, drug: Panobinostat, primary_histopath: Thyroid atrophy, dose: 1.5, route: PO, species: Dog})"
(:PreClinicalData {name: Vorinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 160, t_half: 1.4, ast: 72, noael: 60, tmax: 1.5, sex: M, alt: 88, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021991s000_Zolinza_PharmR.pdf, auc: 1910, cmax: 442, drug: Vorinostat, primary_histopath: Lymphoid depletion, dose: 60, route: PO, species: Dog})"
(:PreClinicalData {name: Vorinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_STUDY],"(:PreclinicalStudy {strain: Beagle, loael: 160, t_half: 1.6, ast: 81, noael: 60, tmax: 1.5, sex: F, alt: 94, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021991s000_Zolinza_PharmR.pdf, auc: 1790, cmax: 398, drug: Vorinostat, primary_histopath: GI mucosal thinning, dose: 60, route: PO, species: Dog})"
"(:PreclinicalStudy {strain: Beagle, loael: 160, t_half: 1.4, ast: 72, noael: 60, tmax: 1.5, sex: M, alt: 88, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021991s000_Zolinza_PharmR.pdf, auc: 1910, cmax: 442, drug: Vorinostat, primary_histopath: Lymphoid depletion, dose: 60, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Beagle, loael: 160, t_half: 1.6, ast: 81, noael: 60, tmax: 1.5, sex: F, alt: 94, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/021991s000_Zolinza_PharmR.pdf, auc: 1790, cmax: 398, drug: Vorinostat, primary_histopath: GI mucosal thinning, dose: 60, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Beagle, loael: 5, t_half: 15.5, ast: 95, noael: 1.5, tmax: 2, sex: M, alt: 112, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205353Orig1s000PharmR.pdf, auc: 1290, cmax: 325, drug: Panobinostat, primary_histopath: Testicular atrophy, dose: 1.5, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Beagle, loael: 5, t_half: 16.5, ast: 108, noael: 1.5, tmax: 2, sex: F, alt: 124, source: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205353Orig1s000PharmR.pdf, auc: 1190, cmax: 295, drug: Panobinostat, primary_histopath: Thyroid atrophy, dose: 1.5, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Beagle, loael: 25, t_half: 4.6, ast: 62, noael: 10, tmax: 1.5, sex: M, alt: 74, source: PubChem-49855250, auc: 1410, cmax: 225, drug: Pracinostat, primary_histopath: GI hemorrhage, dose: 10, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Beagle, loael: 25, t_half: 5, ast: 69, noael: 10, tmax: 1.5, sex: F, alt: 79, source: PubChem-49855250, auc: 1290, cmax: 195, drug: Pracinostat, primary_histopath: GI hemorrhage, dose: 10, route: PO, species: Dog})",null,null
"(:PreclinicalStudy {strain: Sprague-Dawley, loael: 15, t_half: 1.1, ast: 94, noael: 5, tmax: 0.08, sex: M, alt: 82, source: ChEMBL817, auc: 1210, cmax: 295, drug: Dacinostat, primary_histopath: Splenic atrophy, dose: 10, route: IV, species: Rat})",null,null
"(:PreclinicalStudy {strain: Sprague-Dawley, loael: 15, t_half: 1.3, ast: 102, noael: 5, tmax: 0.08, sex: F, alt: 89, source: ChEMBL817, auc: 1090, cmax: 265, drug: Dacinostat, primary_histopath: Body weight loss, dose: 10, route: IV, species: Rat})",null,null
"(:PreclinicalStudy {strain: Wistar, loael: 40, t_half: 3.6, ast: 64, noael: 10, tmax: 1.2, sex: M, alt: 58, source: ChEMBL1201103, auc: 1500, cmax: 210, drug: Resminostat, primary_histopath: GI emesis/distress, dose: 20, route: PO, species: Rat})",null,null
"(:PreclinicalStudy {strain: Wistar, loael: 40, t_half: 4, ast: 72, noael: 10, tmax: 1.2, sex: F, alt: 64, source: ChEMBL1201103, auc: 1340, cmax: 180, drug: Resminostat, primary_histopath: GI emesis/distress, dose: 20, route: PO, species: Rat})",null,null
(:Species {name: Rat}),[:HAS_EXPERIMENTAL_DESIGN],"(:ExperimentalDesign {study_type: Dose escalation toxicology, name: Belinostat Rat Experimental Design})"
(:Species {name: Rat}),[:HAS_EXPOSURE],(:Exposure {name: Rat Exposure})
(:Species {name: Rat}),[:HAS_TOXICITY],(:Toxicity {name: Rat Toxicity})
(:Species {name: Rat}),[:HAS_TOXICOKINETIC_PARAMETERS],"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})"
(:Species {name: Rat}),[:HAS_MICROSCOPIC_FINDINGS],"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})"
(:Species {name: Dog}),[:HAS_EXPOSURE],(:Exposure {name: Dog Exposure})
(:Species {name: Dog}),[:HAS_TOXICITY],(:Toxicity {name: Dog Toxicity})
(:Species {name: Dog}),[:HAS_TOXICOKINETIC_PARAMETERS],"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})"
(:Species {name: Dog}),[:HAS_MICROSCOPIC_FINDINGS],"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})"
"(:ExperimentalDesign {study_type: Dose escalation toxicology, name: Belinostat Rat Experimental Design})",[:HAS_GROUP],"(:ExperimentalGroup {recovery_f: 5, tk_m: 0, group_number: 1, terminal_m: 10, tk_f: 0, dose_mg_per_kg_per_day: 0, terminal_f: 10, recovery_m: 5})"
"(:ExperimentalDesign {study_type: Dose escalation toxicology, name: Belinostat Rat Experimental Design})",[:HAS_GROUP],"(:ExperimentalGroup {recovery_f: 0, tk_m: 8, group_number: 2, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 10, terminal_f: 10, recovery_m: 0})"
"(:ExperimentalDesign {study_type: Dose escalation toxicology, name: Belinostat Rat Experimental Design})",[:HAS_GROUP],"(:ExperimentalGroup {recovery_f: 0, tk_m: 8, group_number: 3, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 25, terminal_f: 10, recovery_m: 0})"
"(:ExperimentalDesign {study_type: Dose escalation toxicology, name: Belinostat Rat Experimental Design})",[:HAS_GROUP],"(:ExperimentalGroup {recovery_f: 5, tk_m: 8, group_number: 4, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 100, terminal_f: 10, recovery_m: 5})"
"(:ExperimentalGroup {recovery_f: 5, tk_m: 0, group_number: 1, terminal_m: 10, tk_f: 0, dose_mg_per_kg_per_day: 0, terminal_f: 10, recovery_m: 5})",null,null
"(:ExperimentalGroup {recovery_f: 0, tk_m: 8, group_number: 2, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 10, terminal_f: 10, recovery_m: 0})",null,null
"(:ExperimentalGroup {recovery_f: 0, tk_m: 8, group_number: 3, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 25, terminal_f: 10, recovery_m: 0})",null,null
"(:ExperimentalGroup {recovery_f: 5, tk_m: 8, group_number: 4, terminal_m: 10, tk_f: 8, dose_mg_per_kg_per_day: 100, terminal_f: 10, recovery_m: 5})",null,null
"(:ClinicalChemistry {unit: ALT fold-change, parameter: Alanine Aminotransferase, name: Belinostat ALT Clinical Chemistry})",[:HAS_CYCLE_DATA],"(:ClinicalChemistryCycle {dose25_m: 16.4, dose10_m: 3.6, parameter: Alanine Aminotransferase, dose100_f: 17.5, dose25_f: 10, cycle: Cycle 2, dose100_m: 25.5, dose10_f: 12.5})"
"(:ClinicalChemistry {unit: ALT fold-change, parameter: Alanine Aminotransferase, name: Belinostat ALT Clinical Chemistry})",[:HAS_CYCLE_DATA],"(:ClinicalChemistryCycle {dose25_m: 15.2, dose10_m: 6.5, parameter: Alanine Aminotransferase, dose100_f: 20.5, dose25_f: 10.3, cycle: Cycle 4, dose100_m: 21.7, dose10_f: 0})"
"(:ClinicalChemistry {unit: ALT fold-change, parameter: Alanine Aminotransferase, name: Belinostat ALT Clinical Chemistry})",[:HAS_CYCLE_DATA],"(:ClinicalChemistryCycle {dose25_m: 25.5, dose10_m: 12.7, parameter: Alanine Aminotransferase, dose100_f: 30.8, dose25_f: 10.2, cycle: Cycle 8, dose100_m: 43.6, dose10_f: 0})"
"(:ClinicalChemistry {unit: ALT fold-change, parameter: Alanine Aminotransferase, name: Belinostat ALT Clinical Chemistry})",[:HAS_CYCLE_DATA],"(:ClinicalChemistryCycle {parameter: Alanine Aminotransferase, dose100_f: 7.3, cycle: Recovery, dose100_m: 24.5})"
"(:ClinicalChemistryCycle {dose25_m: 16.4, dose10_m: 3.6, parameter: Alanine Aminotransferase, dose100_f: 17.5, dose25_f: 10, cycle: Cycle 2, dose100_m: 25.5, dose10_f: 12.5})",null,null
"(:ClinicalChemistryCycle {dose25_m: 15.2, dose10_m: 6.5, parameter: Alanine Aminotransferase, dose100_f: 20.5, dose25_f: 10.3, cycle: Cycle 4, dose100_m: 21.7, dose10_f: 0})",null,null
"(:ClinicalChemistryCycle {dose25_m: 25.5, dose10_m: 12.7, parameter: Alanine Aminotransferase, dose100_f: 30.8, dose25_f: 10.2, cycle: Cycle 8, dose100_m: 43.6, dose10_f: 0})",null,null
"(:ClinicalChemistryCycle {parameter: Alanine Aminotransferase, dose100_f: 7.3, cycle: Recovery, dose100_m: 24.5})",null,null
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 3.9, sex: F, auc_ug_h_per_mL: 1.6, dose_mg_per_kg: 10, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 3.8, sex: F, auc_ug_h_per_mL: 2.2, dose_mg_per_kg: 10, day: 151})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 8.5, sex: F, auc_ug_h_per_mL: 4.4, dose_mg_per_kg: 25, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 11.2, sex: F, auc_ug_h_per_mL: 5.8, dose_mg_per_kg: 25, day: 151})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 20, sex: F, auc_ug_h_per_mL: 8.7, dose_mg_per_kg: 50, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 23.4, sex: F, auc_ug_h_per_mL: 13.8, dose_mg_per_kg: 50, day: 151})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 2.9, sex: M, auc_ug_h_per_mL: 1.3, dose_mg_per_kg: 10, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 4.2, sex: M, auc_ug_h_per_mL: 2.7, dose_mg_per_kg: 10, day: 151})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 10.5, sex: M, auc_ug_h_per_mL: 4.3, dose_mg_per_kg: 25, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 10.3, sex: M, auc_ug_h_per_mL: 6.1, dose_mg_per_kg: 25, day: 151})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 17.7, sex: M, auc_ug_h_per_mL: 9, dose_mg_per_kg: 50, day: 1})"
(:Exposure {name: Dog Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 21, sex: M, auc_ug_h_per_mL: 12.5, dose_mg_per_kg: 50, day: 151})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 1.85, sex: F, auc_ug_h_per_mL: 0.4, dose_mg_per_kg: 10, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 2.48, sex: F, auc_ug_h_per_mL: 0.53, dose_mg_per_kg: 10, day: 151})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 4.56, sex: F, auc_ug_h_per_mL: 1.01, dose_mg_per_kg: 25, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 6.15, sex: F, auc_ug_h_per_mL: 1.76, dose_mg_per_kg: 25, day: 151})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 23.87, sex: F, auc_ug_h_per_mL: 6.81, dose_mg_per_kg: 100, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 37.1, sex: F, auc_ug_h_per_mL: 12.09, dose_mg_per_kg: 100, day: 151})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 1.14, sex: M, auc_ug_h_per_mL: 0.27, dose_mg_per_kg: 10, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 2.63, sex: M, auc_ug_h_per_mL: 0.71, dose_mg_per_kg: 10, day: 151})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 3.13, sex: M, auc_ug_h_per_mL: 0.81, dose_mg_per_kg: 25, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 7.64, sex: M, auc_ug_h_per_mL: 2.22, dose_mg_per_kg: 25, day: 151})"
